Date,Hour,MWh,kWh
1/15/23,18.0,36.13,36130.0
1/15/23,19.0,35.87,35870.0
1/15/23,20.0,35.76,35760.0
1/15/23,21.0,35.6,35600.0
1/15/23,22.0,35.72,35720.0
1/15/23,23.0,35.87,35870.0
1/15/23,24.0,35.75,35750.0
1/16/23,1.0,35.78,35780.0
1/16/23,2.0,35.56,35560.0
1/16/23,3.0,35.59,35590.0
1/16/23,4.0,35.51,35510.0
1/16/23,5.0,35.6,35600.0
1/16/23,6.0,35.86,35860.0
1/16/23,7.0,36.11,36110.0
1/16/23,8.0,31.26,31260.0
1/16/23,9.0,4.54,4540.0
1/16/23,10.0,4.52,4520.0
1/16/23,11.0,4.49,4490.0
1/16/23,12.0,32.07,32070.0
1/16/23,13.0,36.32,36320.0
1/16/23,14.0,36.25,36250.0
1/16/23,15.0,36.65,36650.0
1/16/23,16.0,36.63,36630.0
1/16/23,17.0,36.55,36550.0
1/16/23,18.0,36.21,36210.0
1/16/23,19.0,35.91,35910.0
1/16/23,20.0,35.84,35840.0
1/16/23,21.0,35.46,35460.0
1/16/23,22.0,35.53,35530.0
1/16/23,23.0,35.87,35870.0
1/16/23,24.0,35.83,35830.0
1/17/23,1.0,36.02,36020.0
1/17/23,2.0,35.93,35930.0
1/17/23,3.0,35.65,35650.0
1/17/23,4.0,35.62,35620.0
1/17/23,5.0,35.8,35800.0
1/17/23,6.0,36.02,36020.0
1/17/23,7.0,36.17,36170.0
1/17/23,8.0,36.5,36500.0
1/17/23,9.0,36.4,36400.0
1/17/23,10.0,36.39,36390.0
1/17/23,11.0,36.28,36280.0
1/17/23,12.0,36.48,36480.0
1/17/23,13.0,36.64,36640.0
1/17/23,14.0,36.69,36690.0
1/17/23,15.0,36.69,36690.0
1/17/23,16.0,36.3,36300.0
1/17/23,17.0,37.02,37020.0
1/17/23,18.0,36.21,36210.0
1/17/23,19.0,35.82,35820.0
1/17/23,20.0,35.83,35830.0
1/17/23,21.0,35.92,35920.0
1/17/23,22.0,36.13,36130.0
1/17/23,23.0,36.11,36110.0
1/17/23,24.0,36.13,36130.0
1/18/23,1.0,36.12,36120.0
1/18/23,2.0,36.21,36210.0
1/18/23,3.0,35.88,35880.0
1/18/23,4.0,35.95,35950.0
1/18/23,5.0,36.04,36040.0
1/18/23,6.0,36.46,36460.0
