Date,Hour,kWh,MWh
1/21/23,3.0,"15,720.00",15.72
1/21/23,4.0,"15,717.00",15.72
1/21/23,5.0,"15,714.00",15.71
1/21/23,6.0,"15,691.00",15.69
1/21/23,7.0,"15,698.00",15.7
1/21/23,8.0,"15,675.00",15.68
1/21/23,9.0,"15,701.00",15.7
1/21/23,10.0,"15,717.00",15.72
1/21/23,11.0,"15,724.00",15.72
1/21/23,12.0,"15,792.00",15.79
1/21/23,13.0,"15,850.00",15.85
1/21/23,14.0,"15,821.00",15.82
1/21/23,15.0,"15,798.00",15.8
1/21/23,16.0,"15,730.00",15.73
1/21/23,17.0,"15,792.00",15.79
1/21/23,18.0,"15,808.00",15.81
1/21/23,19.0,"15,782.00",15.78
1/21/23,20.0,"15,769.00",15.77
1/21/23,21.0,"15,750.00",15.75
1/21/23,22.0,"15,733.00",15.73
1/21/23,23.0,"15,708.00",15.71
1/21/23,24.0,"15,691.00",15.69
1/22/23,1.0,"15,688.00",15.69
1/22/23,2.0,"15,678.00",15.68
1/22/23,3.0,"15,698.00",15.7
1/22/23,4.0,"15,691.00",15.69
1/22/23,5.0,"15,678.00",15.68
1/22/23,6.0,"15,688.00",15.69
1/22/23,7.0,"15,672.00",15.67
1/22/23,8.0,"15,691.00",15.69
1/22/23,9.0,"15,708.00",15.71
1/22/23,10.0,"15,704.00",15.7
1/22/23,11.0,"15,714.00",15.71
1/22/23,12.0,"15,688.00",15.69
1/22/23,13.0,"15,717.00",15.72
1/22/23,14.0,"15,714.00",15.71
1/22/23,15.0,"15,730.00",15.73
1/22/23,16.0,"15,730.00",15.73
1/22/23,17.0,"15,737.00",15.74
1/22/23,18.0,"15,701.00",15.7
1/22/23,19.0,"15,714.00",15.71
1/22/23,20.0,"15,708.00",15.71
1/22/23,21.0,"15,714.00",15.71
1/22/23,22.0,"15,717.00",15.72
1/22/23,23.0,"15,733.00",15.73
1/22/23,24.0,"15,720.00",15.72
1/23/23,1.0,"15,759.00",15.76
1/23/23,2.0,"15,740.00",15.74
1/23/23,3.0,"15,720.00",15.72
1/23/23,4.0,"15,730.00",15.73
1/23/23,5.0,"15,740.00",15.74
1/23/23,6.0,"15,711.00",15.71
1/23/23,7.0,"15,711.00",15.71
1/23/23,8.0,"15,685.00",15.69
1/23/23,9.0,"15,711.00",15.71
1/23/23,10.0,"15,698.00",15.7
1/23/23,11.0,"15,711.00",15.71
1/23/23,12.0,"15,704.00",15.7
1/23/23,13.0,"15,743.00",15.74
1/23/23,14.0,"15,743.00",15.74
1/23/23,15.0,"15,766.00",15.77
1/23/23,16.0,"15,756.00",15.76
1/23/23,17.0,"15,759.00",15.76
1/23/23,18.0,"15,724.00",15.72
1/23/23,19.0,"15,717.00",15.72
1/23/23,20.0,"15,701.00",15.7
1/23/23,21.0,"15,688.00",15.69
1/23/23,22.0,"15,662.00",15.66
1/23/23,23.0,"15,669.00",15.67
1/23/23,24.0,"15,656.00",15.66
1/24/23,1.0,"15,659.00",15.66
1/24/23,2.0,"15,665.00",15.67
1/24/23,3.0,"15,669.00",15.67
1/24/23,4.0,"15,659.00",15.66
1/24/23,5.0,"15,659.00",15.66
1/24/23,6.0,"15,659.00",15.66
1/24/23,7.0,"15,643.00",15.64
